n_active,sigma,K,IO+LS_mean,IO+LS_std,IO+LS_n,IO+LS_train_s_mean,IO+LS_train_s_std,IO+LS_eval_ms_mean,IO+LS_eval_ms_std,IO+SPO+_mean,IO+SPO+_std,IO+SPO+_n,IO+SPO+_train_s_mean,IO+SPO+_train_s_std,IO+SPO+_eval_ms_mean,IO+SPO+_eval_ms_std,CIL_mean,CIL_std,CIL_n,CIL_train_s_mean,CIL_train_s_std,CIL_eval_ms_mean,CIL_eval_ms_std,CIL-MSE_mean,CIL-MSE_std,CIL-MSE_n,CIL-MSE_train_s_mean,CIL-MSE_train_s_std,CIL-MSE_eval_ms_mean,CIL-MSE_eval_ms_std
2,0.01,50,206.3897925225829,79.8124077598242,50,0.1089916467666625,0.0005629466349131,1.26504590511322,0.0071846881563729,196.2013438727042,78.55397150166986,50,3.9334672260284425,0.0424970981845252,1.26827938079834,0.007271869002238,57.38929683767461,7.287406407693026,50,3.872256851196289,0.0427082493698859,2.124370880126953,0.007052438793013,7.190773826216193,4.755866707560586,50,0.019557104110717774,0.011120042662017797,2.8850257349014283,0.5697586139612908
2,0.01,200,184.3814071036581,50.9635473040518,50,0.4369197559356689,0.0012849189338706,1.2728611469268798,0.0072516519017223,171.00919568840305,47.3400001749925,50,10.644209818840029,0.0625511011541404,1.2732868242263793,0.0075014435589397,55.64735261645419,6.084266278975131,50,10.3254523563385,0.0662244763143357,2.128702459335327,0.006248296608364,5.075249343501111,3.786955598017472,50,0.0435172176361084,0.02314058642771973,2.5313875102996826,0.16156554489723127
2,0.01,1000,209.5420755281197,85.42777505162871,50,2.1976590538024903,0.0331959396565324,1.278775691986084,0.0350537824639425,188.1171225627069,75.93037336671478,50,27.75110611438751,0.1452877091244132,1.2728313302993777,0.0081887476406585,55.76229329965125,6.389556429022254,50,25.854453368186952,0.1210710397360527,2.1354087018966674,0.0086066210659473,5.037985001530153,3.2076211565471975,50,0.10648777961730957,0.050861557540149344,2.5496969652175903,0.2578688368617142
2,0.1,50,182.02753242085024,41.38098498921207,50,0.1098699569702148,0.0012398459085024,1.2797173833847046,0.0138481250964674,170.87019520214133,38.45168192141404,50,3.960793333053589,0.0458001472087841,1.2789923715591431,0.0128187093174885,53.981574948826285,3.527103454251063,50,3.897190823554993,0.0293205030199143,2.1491698455810546,0.0173537171004461,5.214424957673312,3.8219941352779134,50,0.014138503074645996,0.0065204221476064875,2.4636816692352297,0.11781333542683169
2,0.1,200,211.00834333325184,77.18921890152924,50,0.4386374235153198,0.0028548872522601,1.2857211017608643,0.0175629990242105,198.50114736620105,76.93309281079006,50,10.705177006721495,0.0725497798962536,1.2749587726593017,0.0089792669976234,56.93418327283953,6.859728995973564,50,10.391534628868104,0.0739139002661862,2.144259142875671,0.0302837255760224,5.381628993722209,2.963113162348752,50,0.03859220504760742,0.016988861783198084,2.470018911361694,0.1196705878450424
2,0.1,1000,198.6054889221081,68.62782158837412,50,2.194059281349182,0.0089655844600654,1.2784463310241698,0.0097721524199366,179.19473727318888,59.68878611025635,50,27.81450364112854,0.1607770616083879,1.281195912361145,0.0310909692844287,55.36797588208472,6.652781634219028,50,25.880945744514467,0.1119486724704756,2.139893217086792,0.0085901980760327,4.21758529738344,2.9746734044850163,50,0.12363175392150878,0.060247351474325576,2.7003915309906006,0.5402236460483267
2,0.5,50,186.28689802723272,51.5134107823074,50,0.1092585277557373,0.0007004275758561,1.2767737913131714,0.0096903411612677,176.8720369705429,49.00525412593766,50,3.955797233581543,0.0445746241230433,1.2763565683364868,0.0090956920851225,55.28219332423968,4.050801289105336,50,3.886816802024841,0.0352035697966555,2.1355700302124023,0.0095023216110755,5.735313780082753,3.3026311344953427,50,0.014027118682861328,0.005615524451813789,2.4720644426345824,0.15279369979214608
2,0.5,200,192.54498457509868,58.64310999332888,50,0.436888108253479,0.0025829790571172,1.277575058937073,0.0079581372542821,177.92444366762666,57.44329144862044,50,10.708376760482787,0.0640252920048172,1.2781346940994265,0.0104879810600352,55.72843162704466,4.8944542920074765,50,10.363414816856384,0.0486511430595287,2.143632574081421,0.0461549236294582,5.213610340771882,2.798368760026317,50,0.03999325275421142,0.019482849664225445,2.5342368841171266,0.3362035587606628
2,0.5,1000,199.41993251389857,51.78423047116108,50,2.147057728767395,0.0376212407420846,1.2461025094985962,0.0153104685640599,175.8634823480514,46.25936383343754,50,27.24127659797669,0.2407921775523295,1.247475390434265,0.0146416453618183,56.708384627299786,5.2373624472969125,50,25.346430439949035,0.2010672489242113,2.0868374729156494,0.017948002805742,5.276505508337532,2.681175937378926,50,0.11257940292358398,0.060363687374051664,2.667911186218262,0.4540629136299311
5,0.01,50,187.20118487025175,85.91968059395836,50,0.1076322031021118,0.0019300048071028,1.256686248779297,0.0139797860997079,177.47729571106927,82.68413265628017,50,3.88495523929596,0.0530105908894072,1.2612930154800417,0.0355839842962636,55.92558245700205,9.186608320973564,50,3.825829133987426,0.0177935866574739,2.095262861251831,0.0164624170059236,5.870003761277298,4.7557314867034215,50,0.015260972976684571,0.007827960419561866,2.570219988822937,0.28842849242224555
5,0.01,200,202.3680694914496,71.83857009887178,50,0.4361458587646484,0.0061459551469525,1.2667547130584718,0.0190086910760434,190.35663804712692,68.99628027508308,50,10.616084570884704,0.1100157192456037,1.2697509813308716,0.0176692793642541,55.96031768046188,5.756620197399891,50,10.285056500434877,0.0988079485209187,2.119282393455505,0.0388545683561171,5.030660320801377,3.3735520822367526,50,0.04206247329711914,0.020953880575126205,2.651240496635437,0.4294415080048989
