n_active,sigma,K,IO+LS_mean,IO+LS_std,IO+LS_n,IO+LS_train_s_mean,IO+LS_train_s_std,IO+LS_eval_ms_mean,IO+LS_eval_ms_std,IO+SPO+_mean,IO+SPO+_std,IO+SPO+_n,IO+SPO+_train_s_mean,IO+SPO+_train_s_std,IO+SPO+_eval_ms_mean,IO+SPO+_eval_ms_std,CIL_mean,CIL_std,CIL_n,CIL_train_s_mean,CIL_train_s_std,CIL_eval_ms_mean,CIL_eval_ms_std
2,0.01,50,206.3897925225829,79.8124077598242,50,0.10899164676666259,0.0005629466349131298,1.2650459051132201,0.007184688156372922,196.2013438727042,78.55397150166986,50,3.9334672260284425,0.04249709818452524,1.26827938079834,0.0072718690022380615,57.38929683767461,7.287406407693026,50,3.872256851196289,0.04270824936988597,2.124370880126953,0.007052438793013036
2,0.01,200,184.3814071036581,50.9635473040518,50,0.43691975593566895,0.001284918933870693,1.2728611469268798,0.007251651901722366,171.00919568840303,47.340000174992504,50,10.644209818840027,0.06255110115414045,1.2732868242263793,0.007501443558939722,55.64735261645419,6.084266278975131,50,10.3254523563385,0.06622447631433576,2.128702459335327,0.006248296608364011
2,0.01,1000,209.54207552811974,85.42777505162871,50,2.1976590538024903,0.03319593965653245,1.278775691986084,0.03505378246394259,188.1171225627069,75.93037336671478,50,27.75110611438751,0.14528770912441327,1.2728313302993775,0.008188747640658562,55.76229329965125,6.389556429022254,50,25.854453368186952,0.12107103973605275,2.1354087018966674,0.008606621065947395
2,0.1,50,182.02753242085026,41.38098498921207,50,0.10986995697021484,0.0012398459085024456,1.2797173833847046,0.013848125096467444,170.87019520214133,38.451681921414036,50,3.960793333053589,0.045800147208784184,1.2789923715591431,0.01281870931748859,53.981574948826285,3.527103454251063,50,3.897190823554993,0.029320503019914304,2.1491698455810546,0.01735371710044617
2,0.1,200,211.00834333325184,77.18921890152924,50,0.4386374235153198,0.0028548872522601693,1.2857211017608643,0.01756299902421058,198.50114736620105,76.93309281079006,50,10.705177006721497,0.07254977989625364,1.2749587726593017,0.008979266997623407,56.93418327283953,6.859728995973564,50,10.391534628868103,0.07391390026618623,2.144259142875671,0.03028372557602248
2,0.1,1000,198.60548892210812,68.62782158837412,50,2.194059281349182,0.00896558446006543,1.2784463310241698,0.00977215241993666,179.19473727318888,59.68878611025635,50,27.81450364112854,0.16077706160838795,1.281195912361145,0.031090969284428706,55.36797588208472,6.652781634219028,50,25.880945744514467,0.1119486724704756,2.139893217086792,0.008590198076032797
2,0.5,50,186.28689802723272,51.5134107823074,50,0.1092585277557373,0.0007004275758561438,1.2767737913131714,0.009690341161267798,176.8720369705429,49.00525412593766,50,3.955797233581543,0.044574624123043353,1.2763565683364868,0.009095692085122549,55.28219332423968,4.050801289105336,50,3.8868168020248413,0.03520356979665552,2.1355700302124023,0.009502321611075568
2,0.5,200,192.54498457509868,58.64310999332888,50,0.436888108253479,0.0025829790571172554,1.2775750589370727,0.007958137254282136,177.92444366762666,57.44329144862044,50,10.708376760482787,0.06402529200481724,1.2781346940994263,0.010487981060035232,55.72843162704466,4.8944542920074765,50,10.363414816856384,0.04865114305952879,2.143632574081421,0.04615492362945823
2,0.5,1000,199.41993251389857,51.78423047116108,50,2.147057728767395,0.03762124074208462,1.2461025094985962,0.015310468564059902,175.8634823480514,46.25936383343754,50,27.241276597976686,0.2407921775523295,1.247475390434265,0.014641645361818372,56.708384627299786,5.2373624472969125,50,25.346430439949035,0.20106724892421138,2.0868374729156494,0.017948002805742064
5,0.01,50,187.20118487025178,85.91968059395836,50,0.10763220310211181,0.0019300048071028543,1.256686248779297,0.013979786099707918,177.47729571106927,82.68413265628017,50,3.8849552392959597,0.05301059088940726,1.2612930154800415,0.035583984296263665,55.925582457002044,9.186608320973564,50,3.8258291339874266,0.01779358665747394,2.095262861251831,0.01646241700592367
5,0.01,200,202.36806949144957,71.83857009887178,50,0.43614585876464845,0.006145955146952544,1.2667547130584718,0.019008691076043426,190.35663804712695,68.99628027508308,50,10.616084570884704,0.1100157192456037,1.2697509813308716,0.017669279364254137,55.96031768046188,5.756620197399891,50,10.285056500434875,0.09880794852091875,2.119282393455505,0.03885456835611718
5,0.01,1000,189.58407599310732,66.63318006236501,50,2.2096788835525514,0.03021149283341535,1.2925668859481811,0.040052604264548555,170.20650093888383,59.299768618268665,50,28.128925700187683,0.260624327508941,1.2885595703125,0.016244157262787204,55.1595081200488,5.346272970502097,50,26.165502548217773,0.28975534592002405,2.1509722805023195,0.030248966343454576
5,0.1,50,206.25381024034058,98.74552292226772,50,0.11054576396942138,0.0004045585177719557,1.2945114803314208,0.01889415842154096,191.54513575889501,90.78868019977035,50,4.00403938293457,0.021042578688483568,1.2937801885604858,0.007268351878281432,57.862048084218976,10.762752017457244,50,3.9469445180892944,0.04459008777503138,2.162326302528381,0.047936999238480646
5,0.1,200,204.8210899508213,84.30372288766917,50,0.4353197145462036,0.006661622548045846,1.2710149526596068,0.01591342278977284,191.35960960792315,76.70895537512887,50,10.678916969299316,0.10941364150557771,1.275628113746643,0.01621475407309195,56.94156801945847,8.104014285058422,50,10.357953782081603,0.10384479134235959,2.129827170372009,0.04904609196080351
